note: optimizatiom is o3 for all,,,,,,,,,,,,,,,,,,,,,
OpenMP - parallel addition,,,,,,,,,,,,,,,,,,,,,
,M,Nr Threds,iteration,T_reading,T_multiplication,T_writing,T_total,computenode,ora,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,,,3,230.531,160840,7634.56,168705,,,,,,,,,,,,Efficiency,1.603856294,
,,,4,229.318,160754.5,7611.64,168595.46,,,,,,,,,,,,Cost,3370000,
,,,5,227.642,160612.2,7594.08,168433.28,,,,,,,,,,,,,,
,,,6,225.559,160401.8,7580.67,168208.47,,,,,,,,,,,,,,
,,,7,224.831,160198.7,7562.41,167986.81,,,,,,,,,,,,,,
,,,8,223.144,159982.4,7550.12,167755.62,,,,,,,,,,,,,,
,,,9,221.808,159758.6,7521.35,167501.75,,,,,,,,,,,,,,
,,,10,220.764,159543.3,7489.2,167253.24,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,
,10k,40,1,240.707,193205,8421.63,201867,51,3:13,,,10k,40,251.4993,189265,8185.955,197852,,Time Complexity,O(N^3),
,,,2,264.974,192110,8525.9,200901,,,,,,,,,,,,Speed-Up,27.31837793,
,,,3,254.612,182535,7662.02,190452,,,,,,,,,,,,Efficiency,0.682959448,
,,,4,239.8,193000,8400,201200,,,,,,,,,,,,Cost,7914080,
,,,5,263.5,191800,8500,200800,,,,,,,,,,,,,,
,,,6,253.5,181800,7600,189900,,,,,,,,,,,,,,
,,,7,240.2,192800,8300,201300,,,,,,,,,,,,,,
,,,8,264.2,192000,8450,200650,,,,,,,,,,,,,,
,,,9,254,181200,7650,190400,,,,,,,,,,,,,,
,,,10,239.5,192200,8350,201050,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
